"ingredient code","Ingredient description","Nutrient code","Nutrient value","Nutrient value source","FDC ID","Derivation code","SR AddMod year","Foundation year acquired","Start date","End date"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","617","0.229","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","618","0.17","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","619","0.237","SR Legacy","175199","","1986","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","620","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","621","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","626","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","627","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","628","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","629","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","630","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","631","0","SR Legacy","175199","","1995","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","645","0.229","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16042","Beans, pinto, mature seeds, raw (Includes foods for USDA's Food Distribution Program)","646","0.407","SR Legacy","175199","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","203","9.01","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","204","0.65","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","205","26.22","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","208","143","SR Legacy","175200","NC","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","221","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","255","62.95","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","262","0","SR Legacy","175200","Z","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","263","0","SR Legacy","175200","Z","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","269","0.34","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","291","9","SR Legacy","175200","JA","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","301","46","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","303","2.09","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","304","50","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","305","147","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","306","436","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","307","1","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","309","0.98","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","312","0.219","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","317","6.2","SR Legacy","175200","JA","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","319","0","SR Legacy","175200","Z","2002","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","320","0","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","321","0","SR Legacy","175200","A","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","322","0","SR Legacy","175200","A","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","323","0.94","SR Legacy","175200","NR","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","328","0","SR Legacy","175200","Z","2008","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","334","0","SR Legacy","175200","A","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","337","0","SR Legacy","175200","A","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","338","0","SR Legacy","175200","NR","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","401","0.8","SR Legacy","175200","A","2003","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","404","0.193","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","405","0.062","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","406","0.318","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","415","0.229","SR Legacy","175200","JO","2004","0","2017-01-01","2018-12-31"
"16043","Beans, pinto, mature seeds, cooked, boiled, without salt","417","172","SR Legacy","175200","","2006","0","2017-01-01","2018-12-31"
